subscriber_id,blast_id,send_timestamp,open_timestamp,click_timestamp,device,click_urls
human_000000,demo_blast_001,2025-01-15 10:00:00,,,,
human_000001,demo_blast_001,2025-01-15 10:00:00,,,,
human_000002,demo_blast_001,2025-01-15 10:00:00,,,,
human_000003,demo_blast_001,2025-01-15 10:00:00,,,,
human_000004,demo_blast_001,2025-01-15 10:00:00,2025-01-15 15:36:09.405544,2025-01-15 15:40:17.987583,Gmail,https://example.com/article-about-topic
human_000005,demo_blast_001,2025-01-15 10:00:00,,,,
human_000006,demo_blast_001,2025-01-15 10:00:00,2025-01-15 13:05:36.184721,,Apple Mail,
human_000007,demo_blast_001,2025-01-15 10:00:00,,,,
human_000008,demo_blast_001,2025-01-15 10:00:00,2025-01-15 13:05:15.605731,2025-01-15 13:05:45.605731,Gmail,https://example.com/article-about-topic
human_000009,demo_blast_001,2025-01-15 10:00:00,,,,
human_000010,demo_blast_001,2025-01-15 10:00:00,2025-01-15 11:26:52.663140,,Apple Mail,
human_000011,demo_blast_001,2025-01-15 10:00:00,2025-01-15 11:47:04.629627,,Apple Mail,
human_000012,demo_blast_001,2025-01-15 10:00:00,,,,
human_000013,demo_blast_001,2025-01-15 10:00:00,,,,
human_000014,demo_blast_001,2025-01-15 10:00:00,,,,
human_000015,demo_blast_001,2025-01-15 10:00:00,2025-01-15 16:03:10.895831,,Gmail,
human_000016,demo_blast_001,2025-01-15 10:00:00,2025-01-15 12:55:27.751835,,Android,
human_000017,demo_blast_001,2025-01-15 10:00:00,,,,
human_000018,demo_blast_001,2025-01-15 10:00:00,,,,
human_000019,demo_blast_001,2025-01-15 10:00:00,,,,
human_000020,demo_blast_001,2025-01-15 10:00:00,2025-01-15 14:27:42.888604,,Android,
human_000021,demo_blast_001,2025-01-15 10:00:00,,,,
human_000022,demo_blast_001,2025-01-15 10:00:00,,,,
human_000023,demo_blast_001,2025-01-15 10:00:00,,,,
human_000024,demo_blast_001,2025-01-15 10:00:00,,,,
human_000025,demo_blast_001,2025-01-15 10:00:00,,,,
human_000026,demo_blast_001,2025-01-15 10:00:00,,,,
human_000027,demo_blast_001,2025-01-15 10:00:00,,,,
human_000028,demo_blast_001,2025-01-15 10:00:00,,,,
human_000029,demo_blast_001,2025-01-15 10:00:00,,,,
human_000030,demo_blast_001,2025-01-15 10:00:00,,,,
human_000031,demo_blast_001,2025-01-15 10:00:00,,,,
human_000032,demo_blast_001,2025-01-15 10:00:00,,,,
human_000033,demo_blast_001,2025-01-15 10:00:00,,,,
human_000034,demo_blast_001,2025-01-15 10:00:00,2025-01-15 12:16:56.940245,,Apple Mail,
human_000035,demo_blast_001,2025-01-15 10:00:00,,,,
human_000036,demo_blast_001,2025-01-15 10:00:00,2025-01-15 12:58:20.318647,,Apple Mail,
human_000037,demo_blast_001,2025-01-15 10:00:00,,,,
human_000038,demo_blast_001,2025-01-15 10:00:00,,,,
human_000039,demo_blast_001,2025-01-15 10:00:00,,,,
human_000040,demo_blast_001,2025-01-15 10:00:00,,,,
human_000041,demo_blast_001,2025-01-15 10:00:00,,,,
human_000042,demo_blast_001,2025-01-15 10:00:00,,,,
human_000043,demo_blast_001,2025-01-15 10:00:00,,,,
human_000044,demo_blast_001,2025-01-15 10:00:00,,,,
human_000045,demo_blast_001,2025-01-15 10:00:00,2025-01-16 00:30:52.454917,,Gmail,
human_000046,demo_blast_001,2025-01-15 10:00:00,2025-01-15 11:49:25.411442,,Gmail,
human_000047,demo_blast_001,2025-01-15 10:00:00,,,,
human_000048,demo_blast_001,2025-01-15 10:00:00,,,,
human_000049,demo_blast_001,2025-01-15 10:00:00,,,,
human_000050,demo_blast_001,2025-01-15 10:00:00,2025-01-15 12:44:25.395579,,Apple Mail,
human_000051,demo_blast_001,2025-01-15 10:00:00,,,,
human_000052,demo_blast_001,2025-01-15 10:00:00,,,,
human_000053,demo_blast_001,2025-01-15 10:00:00,,,,
human_000054,demo_blast_001,2025-01-15 10:00:00,,,,
human_000055,demo_blast_001,2025-01-15 10:00:00,2025-01-15 15:50:57.310623,,Gmail,
human_000056,demo_blast_001,2025-01-15 10:00:00,2025-01-15 14:59:44.978992,,Gmail,
human_000057,demo_blast_001,2025-01-15 10:00:00,,,,
human_000058,demo_blast_001,2025-01-15 10:00:00,2025-01-15 17:17:23.165023,,Apple Mail,
human_000059,demo_blast_001,2025-01-15 10:00:00,2025-01-15 19:40:49.781849,2025-01-15 19:41:29.645358,Apple Mail,https://example.com/article-about-topic
human_000060,demo_blast_001,2025-01-15 10:00:00,,,,
human_000061,demo_blast_001,2025-01-15 10:00:00,2025-01-15 11:31:21.736152,,Apple Mail,
human_000062,demo_blast_001,2025-01-15 10:00:00,,,,
human_000063,demo_blast_001,2025-01-15 10:00:00,,,,
human_000064,demo_blast_001,2025-01-15 10:00:00,2025-01-15 11:58:59.734688,,Apple Mail,
human_000065,demo_blast_001,2025-01-15 10:00:00,2025-01-15 10:50:27.248465,,Apple Mail,
human_000066,demo_blast_001,2025-01-15 10:00:00,2025-01-15 22:19:01.732215,,Gmail,
human_000067,demo_blast_001,2025-01-15 10:00:00,2025-01-15 14:15:24.171292,,Apple Mail,
human_000068,demo_blast_001,2025-01-15 10:00:00,,,,
human_000069,demo_blast_001,2025-01-15 10:00:00,,,,
human_000070,demo_blast_001,2025-01-15 10:00:00,,,,
human_000071,demo_blast_001,2025-01-15 10:00:00,,,,
human_000072,demo_blast_001,2025-01-15 10:00:00,,,,
human_000073,demo_blast_001,2025-01-15 10:00:00,,,,
human_000074,demo_blast_001,2025-01-15 10:00:00,2025-01-15 15:54:20.602529,,Apple Mail,
human_000075,demo_blast_001,2025-01-15 10:00:00,,,,
human_000076,demo_blast_001,2025-01-15 10:00:00,,,,
human_000077,demo_blast_001,2025-01-15 10:00:00,,,,
human_000078,demo_blast_001,2025-01-15 10:00:00,,,,
human_000079,demo_blast_001,2025-01-15 10:00:00,,,,
human_000080,demo_blast_001,2025-01-15 10:00:00,,,,
human_000081,demo_blast_001,2025-01-15 10:00:00,2025-01-16 07:03:12.980757,,iPhone,
human_000082,demo_blast_001,2025-01-15 10:00:00,2025-01-15 14:46:53.784551,,Gmail,
human_000083,demo_blast_001,2025-01-15 10:00:00,,,,
human_000084,demo_blast_001,2025-01-15 10:00:00,2025-01-15 13:59:44.684465,,Apple Mail,
human_000085,demo_blast_001,2025-01-15 10:00:00,,,,
human_000086,demo_blast_001,2025-01-15 10:00:00,,,,
human_000087,demo_blast_001,2025-01-15 10:00:00,2025-01-15 17:20:30.981560,,Apple Mail,
human_000088,demo_blast_001,2025-01-15 10:00:00,2025-01-15 11:08:26.249915,,Android,
human_000089,demo_blast_001,2025-01-15 10:00:00,,,,
human_000090,demo_blast_001,2025-01-15 10:00:00,,,,
human_000091,demo_blast_001,2025-01-15 10:00:00,,,,
human_000092,demo_blast_001,2025-01-15 10:00:00,,,,
human_000093,demo_blast_001,2025-01-15 10:00:00,,,,
human_000094,demo_blast_001,2025-01-15 10:00:00,,,,
human_000095,demo_blast_001,2025-01-15 10:00:00,,,,
human_000096,demo_blast_001,2025-01-15 10:00:00,,,,
human_000097,demo_blast_001,2025-01-15 10:00:00,,,,
human_000098,demo_blast_001,2025-01-15 10:00:00,2025-01-15 14:55:45.228076,,Apple Mail,
human_000099,demo_blast_001,2025-01-15 10:00:00,,,,
human_000100,demo_blast_001,2025-01-15 10:00:00,2025-01-15 15:39:57.081443,,Apple Mail,
human_000101,demo_blast_001,2025-01-15 10:00:00,,,,
human_000102,demo_blast_001,2025-01-15 10:00:00,,,,
human_000103,demo_blast_001,2025-01-15 10:00:00,,,,
human_000104,demo_blast_001,2025-01-15 10:00:00,2025-01-15 12:31:50.728827,,Gmail,
